"	Category","	Event","	Event Display Name","	Event Description","	Event Volume","	Event Query Volume","	Event Schema Status","	Event First Seen","	Event Last Seen","	Event Number of Properties","	Event Property","	Property Description","	Property Type","	Property Schema Status","	Property Is Required","	Property Is Array","	Property Enum Options","	Property Regex","	Property First Seen","	Property Last Seen"
"	Insights calculator","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	"
"	","	Launched AMT Crossover","	","	","	0","	3","	added","	2020-03-18","	2020-06-23","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	","	Launched Exit Forecast","	","	","	0","	3","	added","	2019-09-26","	2020-06-24","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	","	Launched Tax Bracket Maximization","	","	","	0","	3","	added","	2020-03-18","	2020-06-19","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	","	Launched Tax Report","	","	","	0","	3","	added","	2019-09-26","	2020-06-25","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	Uncategorized","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	"
"	","	Answered Get Started Question","	Answered G.S. Question","	","	0","	6","	added","	2019-09-26","	2020-06-24","	3","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	options","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-18"
"	","	","	","	","	","	","	","	","	","	","	question","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	shares","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-18"
"	","	Audit","	","	","	0","	0","	added","	2020-08-25","	2020-08-25","	17","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	details.action","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.blocked","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.message_id","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.name","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.planned","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.resource_id","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.resource_type","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.source_id","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.source_name","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.source_slug","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.subject_id","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.subject_type","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.target","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.tracking_plan_connected","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.type","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	type","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	workspace_id","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	Company Changed-Status","	","	","	2331","	0","	added","	2020-09-09","	2021-04-07","	16","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	affinity_organization_id","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	body.crunchbase_uuid","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	body.domain","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	body.domains","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	body.global","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	body.id","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	body.name","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	domain","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	domains","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	organization_name","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	sent_at","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	status","	","	any","	added","	false","	false","	","	","	2020-09-15","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	type","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	underwriting_status","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	Company Status Changed","	","	","	0","	0","	added","	2020-09-14","	2020-09-14","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	affinity_organization_id","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	domain","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	domains","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	organization_name","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	underwriting_status","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	Completed Get Started","	","	","	0","	4","	added","	2019-09-26","	2020-04-15","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	options","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-18"
"	","	","	","	","	","	","	","	","	","	","	shares","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-18"
"	","	Experiment Viewed","	","	","	9504","	169","	added","	2021-02-11","	2021-04-07","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	experimentName","	","	any","	added","	false","	false","	","	","	2021-02-11","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	variationName","	","	any","	added","	false","	false","	","	","	2021-02-11","	2021-04-07"
"	","	Financing Added-To-CRM","	","	","	1392","	0","	added","	2020-06-24","	2021-04-07","	11","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	advisor","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	amount","	","	any","	added","	false","	false","	","	","	2020-12-28","	2021-03-26"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	provided_amount","	","	any","	added","	false","	false","	","	","	2021-03-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	reason","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	requested_amount","	","	any","	added","	false","	false","	","	","	2021-03-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Assigned-Advisor","	","	","	469","	0","	added","	2020-06-24","	2021-04-07","	11","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	advisor","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	amount","	","	any","	added","	false","	false","	","	","	2020-12-28","	2021-03-26"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	provided_amount","	","	any","	added","	false","	false","	","	","	2021-03-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	reason","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	requested_amount","	","	any","	added","	false","	false","	","	","	2021-03-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status","	","	","	1916","	269","	added","	2020-06-23","	2021-04-07","	20","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	advisor","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_company_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_opportunity_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_organization_id","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	affinity_user_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	amount","	","	any","	added","	false","	false","	","	","	2020-12-28","	2021-03-26"
"	","	","	","	","	","	","	","	","	","	","	domain","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	domains","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	organization_name","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	provided_amount","	","	any","	added","	false","	false","	","	","	2021-03-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	reason","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	relative_redirect_url","	","	any","	added","	false","	false","	","	","	2020-06-25","	2021-02-10"
"	","	","	","	","	","	","	","	","	","	","	requested_amount","	","	any","	added","	false","	false","	","	","	2021-03-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	underwriting_status","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	Financing Changed-Status:Deal Closing","	","	","	0","	0","	added","	2020-06-10","	2020-06-22","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	affinity_company_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_opportunity_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_user_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:Issuer Due Diligence","	","	","	0","	0","	added","	2020-06-09","	2020-06-22","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	affinity_company_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_opportunity_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_user_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:Lost","	","	","	0","	0","	added","	2020-06-09","	2020-06-19","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	affinity_company_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_opportunity_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_user_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:nda_pending","	","	","	0","	0","	added","	2020-06-26","	2020-06-26","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:needs_review","	","	","	0","	0","	added","	2020-06-26","	2020-06-26","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:On Hold","	","	","	0","	0","	added","	2020-06-11","	2020-06-22","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	affinity_company_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_opportunity_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_user_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:Onboarding","	","	","	0","	0","	added","	2020-06-10","	2020-06-19","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	affinity_company_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_opportunity_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_user_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:outreach_pending","	","	","	0","	0","	added","	2020-06-26","	2020-06-26","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:proposal_call_pending","	","	","	0","	0","	added","	2020-06-26","	2020-06-26","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:proposal_pending","	","	","	0","	0","	added","	2020-06-26","	2020-06-26","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:proposal_ready","	","	","	0","	0","	added","	2020-06-26","	2020-06-26","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:Proposals","	","	","	0","	0","	added","	2020-06-10","	2020-06-22","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	affinity_company_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_opportunity_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_user_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:rejected","	","	","	0","	0","	added","	2020-06-26","	2020-06-26","	7","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	reason","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:Requests","	","	","	0","	0","	added","	2020-06-12","	2020-06-12","	8","	","	","	","	","	","	","	","	","	","	"
